As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,Ihub Balance,Balance Difference,Match Status,Comments
05/06/2023,2,1649698,11993,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18310,0.0,18310.0,Break,
07/12/2023,2,1656850,29456,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,36173,20000.0,16173.0,Break,
06/11/2023,2,1688808,42040,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,65307,65307.0,0.0,Match,
05/21/2023,2,1623601,55464,USD,ALL OTHER LOANS,PRINCIPAL,76785,76785.0,0.0,Match,
07/25/2023,0,1668238,5821,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,40007,30000.0,10007.0,Break,
05/14/2023,0,1651050,33851,EUR,ALL OTHER LOANS,PRINCIPAL,49511,70000.0,-20489.0,Break,
07/31/2023,0,1647198,30452,EUR,ALL OTHER LOANS,DEFERRED COSTS,68365,68365.0,0.0,Match,
05/04/2023,0,1626404,66434,EUR,ALL OTHER LOANS,PRINCIPAL,57727,20000.0,37727.0,Break,
06/18/2023,2,1691769,37060,GBP,ALL OTHER LOANS,DEFERRED COSTS,31555,70000.0,-38445.0,Break,
04/20/2023,0,1627762,10066,EUR,ALL OTHER LOANS,DEFERRED COSTS,63930,20000.0,43930.0,Break,
04/28/2023,2,1638907,61880,EUR,ALL OTHER LOANS,PRINCIPAL,64087,20000.0,44087.0,Break,
03/13/2023,2,1641420,28998,EUR,ALL OTHER LOANS,DEFERRED COSTS,17230,20000.0,-2770.0,Break,
06/16/2023,2,1687726,18234,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,67313,20000.0,47313.0,Break,
06/08/2023,2,1652327,50484,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17511,17511.0,0.0,Match,
04/18/2023,2,1682982,61914,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30593,80000.0,-49407.0,Break,
05/06/2023,0,1643958,5952,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,65351,65351.0,0.0,Match,
02/23/2023,0,1658315,52538,USD,ALL OTHER LOANS,PRINCIPAL,25816,25816.0,0.0,Match,
07/26/2023,0,1650595,41771,GBP,ALL OTHER LOANS,PRINCIPAL,60077,80000.0,-19923.0,Break,
03/02/2023,2,1682713,41540,USD,ALL OTHER LOANS,PRINCIPAL,72037,72036.58407598949,0.41592401050729677,Match,Difference is within tolerance (less than 1USD)
05/10/2023,0,1646617,34355,EUR,ALL OTHER LOANS,DEFERRED COSTS,79968,50000.0,29968.0,Break,
04/21/2023,0,1647635,15169,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,50432,80000.0,-29568.0,Break,
07/02/2023,0,1658705,8349,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,58804,70000.0,-11196.0,Break,
02/14/2023,2,1641777,57556,EUR,ALL OTHER LOANS,DEFERRED COSTS,52817,52817.0,0.0,Match,
07/20/2023,0,1621448,6200,USD,ALL OTHER LOANS,PRINCIPAL,61934,20000.0,41934.0,Break,
04/29/2023,2,1659211,48300,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,13897,80000.0,-66103.0,Break,
04/14/2023,0,1653317,65751,GBP,ALL OTHER LOANS,DEFERRED COSTS,12578,80000.0,-67422.0,Break,
04/01/2023,2,1619218,19563,USD,ALL OTHER LOANS,DEFERRED COSTS,45719,40000.0,5719.0,Break,
06/05/2023,2,1695590,62721,EUR,ALL OTHER LOANS,DEFERRED COSTS,33680,60000.0,-26320.0,Break,
03/10/2023,0,1672340,35373,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,79942,79941.72720107918,0.2727989208215149,Match,Difference is within tolerance (less than 1USD)
03/06/2023,2,1673627,39089,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,43173,43173.0,0.0,Match,
08/08/2023,2,1646617,34355,EUR,ALL OTHER LOANS,DEFERRED COSTS,76358,76358.0,0.0,Match,
02/11/2023,0,1644132,15426,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,61401,30000.0,31401.0,Break,
09/01/2023,2,1686114,20657,USD,ALL OTHER LOANS,DEFERRED COSTS,73329,10000.0,63329.0,Break,
03/13/2023,2,1652656,25828,USD,ALL OTHER LOANS,DEFERRED COSTS,40126,80000.0,-39874.0,Break,
06/23/2023,2,1685740,61821,USD,ALL OTHER LOANS,DEFERRED COSTS,37158,37158.0,0.0,Match,
06/09/2023,2,1646617,34355,EUR,ALL OTHER LOANS,DEFERRED COSTS,11298,40000.0,-28702.0,Break,
05/15/2023,2,1679714,38299,USD,ALL OTHER LOANS,PRINCIPAL,29304,50000.0,-20696.0,Break,
06/14/2023,0,1679714,38299,USD,ALL OTHER LOANS,PRINCIPAL,15655,40000.0,-24345.0,Break,
05/14/2023,2,1653317,65751,GBP,ALL OTHER LOANS,DEFERRED COSTS,53599,10000.0,43599.0,Break,
07/18/2023,0,1633227,4630,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,56530,70000.0,-13470.0,Break,
09/04/2023,2,1649430,26527,EUR,ALL OTHER LOANS,PRINCIPAL,71474,20000.0,51474.0,Break,
05/31/2023,2,1632614,31214,USD,ALL OTHER LOANS,PRINCIPAL,79116,79116.6456699154,-0.6456699153932277,Match,Difference is within tolerance (less than 1USD)
03/29/2023,2,1680669,65392,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15755,0.0,15755.0,Break,
06/30/2023,2,1630901,26291,USD,ALL OTHER LOANS,DEFERRED COSTS,43464,70000.0,-26536.0,Break,
03/18/2023,0,1605346,49321,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18015,18014.972928786512,0.02707121348794317,Match,Difference is within tolerance (less than 1USD)
04/12/2023,2,1688808,42040,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,27780,70000.0,-42220.0,Break,
04/08/2023,2,1620258,67805,GBP,ALL OTHER LOANS,PRINCIPAL,24506,24506.0,0.0,Match,
08/25/2023,0,1670102,42140,USD,ALL OTHER LOANS,PRINCIPAL,63320,63320.09461536981,-0.09461536980961682,Match,Difference is within tolerance (less than 1USD)
03/22/2023,0,1623601,55464,USD,ALL OTHER LOANS,PRINCIPAL,32712,32712.681854179973,-0.6818541799730156,Match,Difference is within tolerance (less than 1USD)
03/13/2023,2,1696688,8207,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15537,15537.0,0.0,Match,
05/21/2023,2,1639334,4261,EUR,ALL OTHER LOANS,PRINCIPAL,43704,43704.0,0.0,Match,
05/21/2023,0,1615102,34880,GBP,ALL OTHER LOANS,PRINCIPAL,17215,0.0,17215.0,Break,
07/02/2023,0,1609717,56676,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,72332,72332.0,0.0,Match,
05/15/2023,2,1622903,69241,EUR,ALL OTHER LOANS,DEFERRED COSTS,18225,30000.0,-11775.0,Break,
06/06/2023,2,1649430,26527,EUR,ALL OTHER LOANS,PRINCIPAL,42965,42965.20607765949,-0.20607765948807355,Match,Difference is within tolerance (less than 1USD)
09/06/2023,2,1652327,50484,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,67779,20000.0,47779.0,Break,
06/12/2023,2,1656850,29456,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10565,80000.0,-69435.0,Break,
05/11/2023,2,1673227,19733,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30088,80000.0,-49912.0,Break,
02/21/2023,2,1667042,23281,EUR,ALL OTHER LOANS,PRINCIPAL,11312,11312.0,0.0,Match,
05/19/2023,0,1686888,8791,GBP,ALL OTHER LOANS,PRINCIPAL,73316,73316.0,0.0,Match,
04/18/2023,0,1621426,44951,USD,ALL OTHER LOANS,DEFERRED COSTS,14196,80000.0,-65804.0,Break,
07/28/2023,2,1640745,35776,GBP,ALL OTHER LOANS,DEFERRED COSTS,17189,17189.0,0.0,Match,
04/16/2023,2,1675231,21830,EUR,ALL OTHER LOANS,PRINCIPAL,23974,70000.0,-46026.0,Break,
05/22/2023,2,1623286,10106,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,13764,20000.0,-6236.0,Break,
03/27/2023,0,1607277,38177,EUR,ALL OTHER LOANS,DEFERRED COSTS,61457,61457.0,0.0,Match,
05/26/2023,0,1658835,49294,EUR,ALL OTHER LOANS,PRINCIPAL,28488,10000.0,18488.0,Break,
05/18/2023,0,1648971,24022,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,68199,68198.52990789534,0.47009210466057993,Match,Difference is within tolerance (less than 1USD)
08/07/2023,0,1652327,50484,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,70073,60000.0,10073.0,Break,
05/28/2023,0,1638907,61880,EUR,ALL OTHER LOANS,PRINCIPAL,44409,44409.0,0.0,Match,
07/15/2023,0,1643608,60592,GBP,ALL OTHER LOANS,DEFERRED COSTS,41388,70000.0,-28612.0,Break,
05/07/2023,2,1662349,46001,EUR,ALL OTHER LOANS,DEFERRED COSTS,55619,60000.0,-4381.0,Break,
06/01/2023,0,1659103,22987,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46551,46551.0,0.0,Match,
05/08/2023,0,1650412,9408,EUR,ALL OTHER LOANS,DEFERRED COSTS,29362,0.0,29362.0,Break,
06/17/2023,0,1666765,66894,EUR,ALL OTHER LOANS,PRINCIPAL,63252,63252.0,0.0,Match,
04/12/2023,2,1641420,28998,EUR,ALL OTHER LOANS,DEFERRED COSTS,21946,0.0,21946.0,Break,
06/04/2023,0,1690160,63922,EUR,ALL OTHER LOANS,DEFERRED COSTS,57528,40000.0,17528.0,Break,
05/01/2023,2,1630901,26291,USD,ALL OTHER LOANS,DEFERRED COSTS,19950,20000.0,-50.0,Break,
02/16/2023,0,1634540,19647,GBP,ALL OTHER LOANS,PRINCIPAL,45103,0.0,45103.0,Break,
06/08/2023,0,1672340,35373,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,11170,20000.0,-8830.0,Break,
05/17/2023,0,1687726,18234,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15893,0.0,15893.0,Break,
06/20/2023,2,1605969,38221,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15416,15416.50159850157,-0.5015985015706974,Match,Difference is within tolerance (less than 1USD)
04/10/2023,2,1626492,68401,GBP,ALL OTHER LOANS,PRINCIPAL,43834,43834.0,0.0,Match,
07/04/2023,0,1690160,63922,EUR,ALL OTHER LOANS,DEFERRED COSTS,19803,19802.40834597735,0.591654022649891,Match,Difference is within tolerance (less than 1USD)
06/10/2023,0,1606385,68809,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,32598,40000.0,-7402.0,Break,
04/23/2023,0,1627996,41833,USD,ALL OTHER LOANS,PRINCIPAL,41733,50000.0,-8267.0,Break,
05/29/2023,0,1660012,6904,GBP,ALL OTHER LOANS,DEFERRED COSTS,63038,63038.0,0.0,Match,
06/28/2023,0,1660012,6904,GBP,ALL OTHER LOANS,DEFERRED COSTS,43675,43675.0,0.0,Match,
06/21/2023,2,1623286,10106,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,61110,20000.0,41110.0,Break,
03/22/2023,0,1615102,34880,GBP,ALL OTHER LOANS,PRINCIPAL,46173,46173.0,0.0,Match,
04/01/2023,2,1600428,41383,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,30912,30911.38037740597,0.6196225940293516,Match,Difference is within tolerance (less than 1USD)
05/01/2023,0,1672397,35158,GBP,ALL OTHER LOANS,DEFERRED COSTS,65582,10000.0,55582.0,Break,
06/28/2023,0,1662373,44879,USD,ALL OTHER LOANS,PRINCIPAL,50075,50074.056854122995,0.9431458770050085,Match,Difference is within tolerance (less than 1USD)
05/08/2023,2,1620258,67805,GBP,ALL OTHER LOANS,PRINCIPAL,50796,0.0,50796.0,Break,
07/18/2023,0,1691769,37060,GBP,ALL OTHER LOANS,DEFERRED COSTS,38952,30000.0,8952.0,Break,
08/23/2023,2,1640243,47806,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22544,22543.538183716526,0.461816283474036,Match,Difference is within tolerance (less than 1USD)
06/18/2023,2,1609036,22070,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37874,50000.0,-12126.0,Break,
05/20/2023,2,1666723,59241,EUR,ALL OTHER LOANS,DEFERRED COSTS,23720,23720.0,0.0,Match,
05/24/2023,2,1658315,52538,USD,ALL OTHER LOANS,PRINCIPAL,60748,40000.0,20748.0,Break,
07/28/2023,0,1659211,48300,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,63631,20000.0,43631.0,Break,
08/24/2023,2,1601021,12195,EUR,ALL OTHER LOANS,PRINCIPAL,69948,0.0,69948.0,Break,
06/26/2023,0,1653901,51296,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,68720,20000.0,48720.0,Break,
05/30/2023,2,1672794,33531,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28182,80000.0,-51818.0,Break,
03/24/2023,0,1641763,38797,USD,ALL OTHER LOANS,PRINCIPAL,34560,34560.0,0.0,Match,
05/13/2023,2,1684301,10917,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,11261,20000.0,-8739.0,Break,
02/18/2023,2,1609036,22070,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,46562,46562.0,0.0,Match,
07/27/2023,2,1680669,65392,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,33923,10000.0,23923.0,Break,
06/25/2023,2,1607025,19782,EUR,ALL OTHER LOANS,DEFERRED COSTS,54927,50000.0,4927.0,Break,
02/09/2023,0,1626492,68401,GBP,ALL OTHER LOANS,PRINCIPAL,22246,22246.011980430118,-0.011980430117546348,Match,Difference is within tolerance (less than 1USD)
08/03/2023,0,1640962,23294,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20313,70000.0,-49687.0,Break,
04/11/2023,0,1669811,65511,GBP,ALL OTHER LOANS,PRINCIPAL,31712,40000.0,-8288.0,Break,
08/02/2023,0,1627853,22963,EUR,ALL OTHER LOANS,DEFERRED COSTS,14766,40000.0,-25234.0,Break,
05/01/2023,2,1600428,41383,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,51576,70000.0,-18424.0,Break,
04/27/2023,2,1670102,42140,USD,ALL OTHER LOANS,PRINCIPAL,76677,76677.6986116474,-0.6986116473999573,Match,Difference is within tolerance (less than 1USD)
04/06/2023,2,1635621,27886,USD,ALL OTHER LOANS,PRINCIPAL,42686,70000.0,-27314.0,Break,
06/07/2023,2,1619493,8568,GBP,ALL OTHER LOANS,DEFERRED COSTS,16034,70000.0,-53966.0,Break,
04/22/2023,0,1623286,10106,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,41687,41687.0,0.0,Match,
04/19/2023,2,1686888,8791,GBP,ALL OTHER LOANS,PRINCIPAL,68039,60000.0,8039.0,Break,
05/03/2023,2,1661086,43988,GBP,ALL OTHER LOANS,DEFERRED COSTS,43082,43081.46539127583,0.5346087241705391,Match,Difference is within tolerance (less than 1USD)
05/15/2023,0,1641777,57556,EUR,ALL OTHER LOANS,DEFERRED COSTS,74330,70000.0,4330.0,Break,
03/30/2023,2,1662373,44879,USD,ALL OTHER LOANS,PRINCIPAL,59887,10000.0,49887.0,Break,
06/11/2023,2,1618369,11971,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,52452,52452.0,0.0,Match,
04/17/2023,0,1605346,49321,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35025,40000.0,-4975.0,Break,
07/03/2023,0,1627853,22963,EUR,ALL OTHER LOANS,DEFERRED COSTS,22121,60000.0,-37879.0,Break,
03/16/2023,0,1690546,59938,USD,ALL OTHER LOANS,PRINCIPAL,29974,30000.0,-26.0,Break,
03/15/2023,0,1653175,55432,EUR,ALL OTHER LOANS,PRINCIPAL,13792,20000.0,-6208.0,Break,
03/31/2023,0,1668313,63418,USD,ALL OTHER LOANS,PRINCIPAL,18505,50000.0,-31495.0,Break,
09/05/2023,0,1619493,8568,GBP,ALL OTHER LOANS,DEFERRED COSTS,60858,30000.0,30858.0,Break,
02/08/2023,2,1671869,14655,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,61782,0.0,61782.0,Break,
08/15/2023,0,1615118,9977,USD,ALL OTHER LOANS,PRINCIPAL,42855,80000.0,-37145.0,Break,
07/26/2023,0,1689076,4311,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,77990,40000.0,37990.0,Break,
02/01/2023,0,1666492,10872,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,26247,10000.0,16247.0,Break,
05/04/2023,2,1677956,67822,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,26909,26909.0,0.0,Match,
07/28/2023,2,1692967,51898,USD,ALL OTHER LOANS,DEFERRED COSTS,56118,56118.08832920557,-0.08832920557324542,Match,Difference is within tolerance (less than 1USD)
04/02/2023,2,1657392,29895,EUR,ALL OTHER LOANS,DEFERRED COSTS,29043,60000.0,-30957.0,Break,
03/19/2023,2,1645472,10923,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,55234,55234.0,0.0,Match,
06/19/2023,0,1648579,27899,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,26357,26357.0,0.0,Match,
06/07/2023,2,1620258,67805,GBP,ALL OTHER LOANS,PRINCIPAL,24875,40000.0,-15125.0,Break,
05/27/2023,2,1653901,51296,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,71157,10000.0,61157.0,Break,
06/21/2023,2,1609332,44208,GBP,ALL OTHER LOANS,PRINCIPAL,76249,20000.0,56249.0,Break,
04/15/2023,0,1690546,59938,USD,ALL OTHER LOANS,PRINCIPAL,60819,60000.0,819.0,Break,
04/20/2023,2,1603703,36346,GBP,ALL OTHER LOANS,DEFERRED COSTS,24317,50000.0,-25683.0,Break,
08/16/2023,2,1675851,13680,USD,ALL OTHER LOANS,DEFERRED COSTS,25677,10000.0,15677.0,Break,
05/18/2023,2,1675851,13680,USD,ALL OTHER LOANS,DEFERRED COSTS,10339,10339.65626209881,-0.6562620988097478,Match,Difference is within tolerance (less than 1USD)
03/21/2023,2,1666723,59241,EUR,ALL OTHER LOANS,DEFERRED COSTS,61260,30000.0,31260.0,Break,
04/15/2023,0,1641777,57556,EUR,ALL OTHER LOANS,DEFERRED COSTS,47441,50000.0,-2559.0,Break,
06/04/2023,2,1673627,39089,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18681,20000.0,-1319.0,Break,
03/17/2023,2,1675231,21830,EUR,ALL OTHER LOANS,PRINCIPAL,59079,80000.0,-20921.0,Break,
04/23/2023,2,1691424,58144,USD,ALL OTHER LOANS,DEFERRED COSTS,79498,79498.7688354518,-0.7688354518031701,Match,Difference is within tolerance (less than 1USD)
05/02/2023,0,1659103,22987,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,58539,58539.0,0.0,Match,
05/29/2023,2,1692967,51898,USD,ALL OTHER LOANS,DEFERRED COSTS,70718,70718.0,0.0,Match,
02/21/2023,2,1623286,10106,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22518,22518.0,0.0,Match,
07/27/2023,2,1639562,53556,EUR,ALL OTHER LOANS,DEFERRED COSTS,79746,10000.0,69746.0,Break,
05/09/2023,0,1660284,60558,GBP,ALL OTHER LOANS,PRINCIPAL,71918,80000.0,-8082.0,Break,
07/31/2023,2,1667767,65307,EUR,ALL OTHER LOANS,PRINCIPAL,28639,80000.0,-51361.0,Break,
06/04/2023,2,1657813,61196,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,36156,20000.0,16156.0,Break,
08/01/2023,0,1696468,48516,USD,ALL OTHER LOANS,PRINCIPAL,45006,45006.0,0.0,Match,
06/22/2023,2,1624786,40797,USD,ALL OTHER LOANS,PRINCIPAL,11948,11948.0,0.0,Match,
08/06/2023,2,1619493,8568,GBP,ALL OTHER LOANS,DEFERRED COSTS,71733,71733.0,0.0,Match,
05/11/2023,2,1637355,10481,EUR,ALL OTHER LOANS,PRINCIPAL,13591,0.0,13591.0,Break,
05/17/2023,2,1603071,54844,GBP,ALL OTHER LOANS,PRINCIPAL,14352,14351.683664947255,0.3163350527447619,Match,Difference is within tolerance (less than 1USD)
04/13/2023,0,1656850,29456,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,75002,10000.0,65002.0,Break,
